"","taxa","q","Parameter","Eta2_partial","CI","CI_low","CI_high"
"239","HYOS",8,"temp_spike:hydropeaking:HFE",4.2699708398092e-05,0.95,0,1
"240","HYOS",8,"temperature:temp_spike:hydropeaking:HFE",0.00251089544803621,0.95,0.00159423142211128,1
"241","NZMS",1,"temperature",0.97957655970252,0.95,0.979278453688949,1
"242","NZMS",1,"temp_spike",0.274120094254214,0.95,0.266905145747502,1
"243","NZMS",1,"hydropeaking",0.172853727268844,0.95,0.16616742970506,1
"244","NZMS",1,"HFE",0.231068725695318,0.95,0.223976632992882,1
"245","NZMS",1,"temperature:temp_spike",0.726824697899029,0.95,0.722988788253749,1
"246","NZMS",1,"temperature:hydropeaking",0.199553837459861,0.95,0.192592651591652,1
"247","NZMS",1,"temperature:HFE",0.909764524457967,0.95,0.908452391753917,1
"248","NZMS",1,"temp_spike:hydropeaking",0.0136934156320996,0.95,0.011442437848925,1
"249","NZMS",1,"temp_spike:HFE",0.259746371836018,0.95,0.25255808720246,1
"250","NZMS",1,"hydropeaking:HFE",0.188575966095092,0.95,0.181748349231012,1
"251","NZMS",1,"temperature:temp_spike:hydropeaking",0.0674518983811226,0.95,0.0625944510186642,1
"252","NZMS",1,"temperature:temp_spike:HFE",0.00201520059154259,0.95,0.00113683230320159,1
"253","NZMS",1,"temperature:hydropeaking:HFE",0.136727830709581,0.95,0.130418437522433,1
"254","NZMS",1,"temp_spike:hydropeaking:HFE",0.000117798359384811,0.95,0,1
"255","NZMS",1,"temperature:temp_spike:hydropeaking:HFE",1.17905495994484e-05,0.95,0,1
"256","NZMS",2,"temperature",0.998403811459841,0.95,0.998548708914928,1
"257","NZMS",2,"temp_spike",0.976910851171752,0.95,0.976573895538956,1
"258","NZMS",2,"hydropeaking",0.995200172702613,0.95,0.995634615812358,1
"259","NZMS",2,"HFE",0.999517871674439,0.95,0.99956168231082,1
"260","NZMS",2,"temperature:temp_spike",0.990826503144564,0.95,0.991653496802254,1
"261","NZMS",2,"temperature:hydropeaking",0.498582543183813,0.95,0.492258655250526,1
"262","NZMS",2,"temperature:HFE",0.995990053178194,0.95,0.996353264415106,1
"263","NZMS",2,"temp_spike:hydropeaking",0.916883338564679,0.95,0.915674523565362,1
"264","NZMS",2,"temp_spike:HFE",0.250858928953136,0.95,0.243694102356161,1
"265","NZMS",2,"hydropeaking:HFE",0.967016718737028,0.95,0.966535520990266,1
"266","NZMS",2,"temperature:temp_spike:hydropeaking",0.827687783871978,0.95,0.825209577140818,1
"267","NZMS",2,"temperature:temp_spike:HFE",0.924121205555055,0.95,0.923016523426909,1
"268","NZMS",2,"temperature:hydropeaking:HFE",0.876464074688688,0.95,0.874674154355169,1
"269","NZMS",2,"temp_spike:hydropeaking:HFE",0.043981773641482,0.95,0.0400150450297908,1
"270","NZMS",2,"temperature:temp_spike:hydropeaking:HFE",0.000834414438185148,0.95,0.000349217114645403,1
"271","NZMS",4,"temperature",0.99966764832469,0.95,0.999697852984349,1
"272","NZMS",4,"temp_spike",0.998150146011872,0.95,0.998318031702087,1
"273","NZMS",4,"hydropeaking",0.999486615576984,0.95,0.999533265105038,1
"274","NZMS",4,"HFE",0.999892589449317,0.95,0.999902353091351,1
"275","NZMS",4,"temperature:temp_spike",0.998106939488411,0.95,0.998278739675833,1
"276","NZMS",4,"temperature:hydropeaking",0.955637501675643,0.95,0.954990447083628,1
"277","NZMS",4,"temperature:HFE",0.99939606589901,0.95,0.999450938853941,1
"278","NZMS",4,"temp_spike:hydropeaking",0.986440935322065,0.95,0.986242610435422,1
"279","NZMS",4,"temp_spike:HFE",0.990490811059386,0.95,0.991347803201795,1
"280","NZMS",4,"hydropeaking:HFE",0.978093135282287,0.95,0.977773423796051,1
"281","NZMS",4,"temperature:temp_spike:hydropeaking",0.991153896919368,0.95,0.991951615668751,1
"282","NZMS",4,"temperature:temp_spike:HFE",0.973562890865788,0.95,0.973177057066017,1
"283","NZMS",4,"temperature:hydropeaking:HFE",0.372402903918633,0.95,0.365290600309357,1
"284","NZMS",4,"temp_spike:hydropeaking:HFE",0.00801383309914165,0.95,0.00630478334863385,1
"285","NZMS",4,"temperature:temp_spike:hydropeaking:HFE",0.14885653566392,0.95,0.14243999301763,1
"286","NZMS",8,"temperature",0.99856906434637,0.95,0.998698980162548,1
"287","NZMS",8,"temp_spike",0.992211563479487,0.95,0.992914586409172,1
"288","NZMS",8,"hydropeaking",0.997647709061271,0.95,0.997861096298992,1
"289","NZMS",8,"HFE",0.99936998034897,0.95,0.999427222057122,1
"290","NZMS",8,"temperature:temp_spike",0.991118271270966,0.95,0.991919176457004,1
"291","NZMS",8,"temperature:hydropeaking",0.722693917808018,0.95,0.718804845668707,1
"292","NZMS",8,"temperature:HFE",0.997932616161102,0.95,0.99812020685064,1
"293","NZMS",8,"temp_spike:hydropeaking",0.852773941040846,0.95,0.850649465482776,1
"294","NZMS",8,"temp_spike:HFE",0.967934514489204,0.95,0.967466691088402,1
"295","NZMS",8,"hydropeaking:HFE",0.862530779650917,0.95,0.860544163064847,1
"296","NZMS",8,"temperature:temp_spike:hydropeaking",0.942598826362084,0.95,0.941762134377241,1
"297","NZMS",8,"temperature:temp_spike:HFE",0.869845642014663,0.95,0.867961437459326,1
"298","NZMS",8,"temperature:hydropeaking:HFE",0.542157835701103,0.95,0.536222305235499,1
"299","NZMS",8,"temp_spike:hydropeaking:HFE",0.000695456592083719,0.95,0.000261510107048188,1
"300","NZMS",8,"temperature:temp_spike:hydropeaking:HFE",0.00793468960124817,0.95,0.00623445893210712,1
