"StageGroup","Abundance","Biomass","Parameter","SensitivityIncrement","TemperatureFactor","Increment"
"S2_NZMS",7494.21574009141,3376.02549366483,"TempSurvival_BAET",-0.007,1,-0.007
"S3_NZMS",4282.22477057105,3785.12273898773,"TempSurvival_BAET",-0.007,1,-0.007
"S1_CHIR",51.6646009808706,8.50429469117394,"TempSurvival_BAET",-0.007,1,-0.007
"S2_CHIR",9.72535560866697,9.20108940997349,"TempSurvival_BAET",-0.007,1,-0.007
"S3_CHIR",4.47495305514685,3.91342677545846,"TempSurvival_BAET",-0.007,1,-0.007
"S1_GAMM",36.5553425906157,106.403934587266,"TempSurvival_BAET",-0.007,1,-0.007
"S2_GAMM",18.2992232838092,192.032428341991,"TempSurvival_BAET",-0.007,1,-0.007
"S3_GAMM",5.35417957925919,109.688010272507,"TempSurvival_BAET",-0.007,1,-0.007
"S1_HYOS",49.2701260711994,398.854144134344,"TempSurvival_CHIR",-0.007,1,-0.007
"S2_HYOS",13.650863614571,199.337591899815,"TempSurvival_CHIR",-0.007,1,-0.007
"S3_HYOS",0.764002940317134,10.562508840231,"TempSurvival_CHIR",-0.007,1,-0.007
"S1_BAET",54.5859064024785,1.22212377041488,"TempSurvival_CHIR",-0.007,1,-0.007
"S2_BAET",9.41523228544699,1.49007938591482,"TempSurvival_CHIR",-0.007,1,-0.007
"S3_BAET",2.27072170994353,0.292626327902462,"TempSurvival_CHIR",-0.007,1,-0.007
"S1_NZMS",18745.7804429196,1673.25287308531,"TempSurvival_CHIR",-0.007,1,-0.007
"S2_NZMS",7493.58274852348,3375.74034098913,"TempSurvival_CHIR",-0.007,1,-0.007
"S3_NZMS",4281.80054410872,3784.74775885122,"TempSurvival_CHIR",-0.007,1,-0.007
"S1_CHIR",51.6621538240126,8.5033604878691,"TempSurvival_CHIR",-0.007,1,-0.007
"S2_CHIR",9.72564437608693,9.20178133642567,"TempSurvival_CHIR",-0.007,1,-0.007
"S3_CHIR",4.47553465517581,3.91496195509993,"TempSurvival_CHIR",-0.007,1,-0.007
"S1_GAMM",36.5546821790556,106.402012285806,"TempSurvival_CHIR",-0.007,1,-0.007
"S2_GAMM",18.29688855431,192.007927642246,"TempSurvival_CHIR",-0.007,1,-0.007
"S3_GAMM",5.3537401112707,109.679007143545,"TempSurvival_CHIR",-0.007,1,-0.007
"S1_HYOS",49.2269384845454,398.382635209938,"TempSurvival_NZMS",-0.007,1,-0.007
"S2_HYOS",13.629901268133,199.015519852284,"TempSurvival_NZMS",-0.007,1,-0.007
"S3_HYOS",0.767664034665443,10.615740640601,"TempSurvival_NZMS",-0.007,1,-0.007
"S1_BAET",54.4774413268329,1.2180779774788,"TempSurvival_NZMS",-0.007,1,-0.007
"S2_BAET",9.40740267135222,1.48796660159761,"TempSurvival_NZMS",-0.007,1,-0.007
"S3_BAET",2.2782872082456,0.293542801057937,"TempSurvival_NZMS",-0.007,1,-0.007
"S1_NZMS",18748.6006994477,1673.50460986164,"TempSurvival_NZMS",-0.007,1,-0.007
"S2_NZMS",7494.33041970181,3376.07715501296,"TempSurvival_NZMS",-0.007,1,-0.007
"S3_NZMS",4282.29618934907,3785.18586711742,"TempSurvival_NZMS",-0.007,1,-0.007
